               ,DSO 1     ,DSO 1     ,DSO 1     ,DSO 1     ,DSO 2     ,DSO 2     ,DSO 2     ,DSO 2     ,          
Sample         ,Channel1  ,Channel2  ,Channel3  ,Channel4  ,Channel1  ,Channel2  ,Channel3  ,Channel4  , Timestamp
 DSO 1      119,0.556     ,-2.38     ,1.98      ,0.0337    ,          ,          ,          ,          ,  -7009690
 DSO 2      113,          ,          ,          ,          ,0.230     ,0.171     ,0.389     ,0.0171    ,  -7007072
 DSO 1      120,0.810     ,-2.78     ,4.56      ,0.0893    ,          ,          ,          ,          ,  -6999690
 DSO 2      114,          ,          ,          ,          ,0.409     ,-0.028    ,0.349     ,0.0214    ,  -6997072
 DSO 1      121,0.730     ,3.77      ,1.59      ,0.0913    ,          ,          ,          ,          ,  -6989690
 DSO 2      115,          ,          ,          ,          ,0.468     ,0.329     ,0.865     ,0.0183    ,  -6987072
 DSO 1      122,0.984     ,0.40      ,3.97      ,0.1151    ,          ,          ,          ,          ,  -6979690
 DSO 2      116,          ,          ,          ,          ,0.687     ,0.409     ,0.746     ,0.0143    ,  -6977072
 DSO 1      123,0.825     ,1.19      ,1.19      ,0.0595    ,          ,          ,          ,          ,  -6969690
 DSO 2      117,          ,          ,          ,          ,0.627     ,0.528     ,0.726     ,0.0187    ,  -6967072
 DSO 1      124,0.841     ,0.40      ,1.79      ,0.0734    ,          ,          ,          ,          ,  -6959690
 DSO 2      118,          ,          ,          ,          ,0.786     ,0.587     ,0.706     ,0.0250    ,  -6957072
 DSO 1      125,0.571     ,0.79      ,4.76      ,0.0456    ,          ,          ,          ,          ,  -6949690
 DSO 2      119,          ,          ,          ,          ,0.389     ,0.032     ,0.468     ,0.0163    ,  -6947072
 DSO 1      126,0.730     ,-0.60     ,1.98      ,0.0774    ,          ,          ,          ,          ,  -6939690
 DSO 2      120,          ,          ,          ,          ,0.111     ,0.171     ,0.290     ,0.0210    ,  -6937072
 DSO 1      127,0.746     ,0.00      ,0.00      ,0.0694    ,          ,          ,          ,          ,  -6929690
