               ,DSO 1     ,DSO 1     ,DSO 1     ,DSO 1     ,DSO 2     ,DSO 2     ,DSO 2     ,DSO 2     ,
Sample         ,Channel1  ,Channel2  ,Channel3  ,Channel4  ,Channel1  ,Channel2  ,Channel3  ,Channel4  ,Timestamp
 DSO 1      119,6.19E-01,-2.976,-2.381,2.74E-02,          ,          ,          ,          ,1190000
 DSO 2      114,          ,          ,          ,          ,6.87E-01,3.69E-01,7.06E-01,1.67E-02,1191692
 DSO 1      120,6.98E-01,9.92E-01,1.389,4.17E-02,          ,          ,          ,          ,1200000
 DSO 2      115,          ,          ,          ,          ,4.88E-01,5.48E-01,5.48E-01,1.55E-02,1201692
 DSO 1      121,7.30E-01,1.587,-4.762,3.93E-02,          ,          ,          ,          ,1210000
 DSO 2      116,          ,          ,          ,          ,6.87E-01,7.26E-01,6.27E-01,2.30E-02,1211692
 DSO 1      122,5.08E-01,0,3.97E-01,3.33E-02,          ,          ,          ,          ,1220000
 DSO 2      117,          ,          ,          ,          ,4.68E-01,5.16E-02,3.10E-01,1.43E-02,1221692
 DSO 1      123,5.56E-01,-4.96,1.19,3.69E-02,          ,          ,          ,          ,1230000
 DSO 2      118,          ,          ,          ,          ,4.09E-01,-1.07E-01,2.90E-01,1.67E-02,1231692
 DSO 1      124,4.92E-01,3.97E-01,-7.94E-01,1.91E-02,          ,          ,          ,          ,1240000
 DSO 2      119,          ,          ,          ,          ,5.08E-01,1.91E-01,6.27E-01,1.63E-02,1241692
 DSO 1      125,4.92E-01,-1.587,1.98E-01,2.62E-02,          ,          ,          ,          ,1250000
 DSO 2      120,          ,          ,          ,          ,4.68E-01,2.90E-01,5.08E-01,2.54E-02,1251692
 DSO 1      126,6.19E-01,-3.373,-2.976,3.33E-02,          ,          ,          ,          ,1260000
 DSO 2      121,          ,          ,          ,          ,6.27E-01,2.90E-01,8.45E-01,1.79E-02,1261692
 DSO 1      127,6.51E-01,-5.95E-01,-3.175,4.05E-02,          ,          ,          ,          ,1270000
 DSO 2      122,          ,          ,          ,          ,5.48E-01,8.85E-01,6.07E-01,2.02E-02,1271692
 DSO 1      128,5.40E-01,-1.786,1.19,2.86E-02,          ,          ,          ,          ,1280000
 DSO 2      123,          ,          ,          ,          ,4.88E-01,3.69E-01,5.28E-01,1.87E-02,1281692
 DSO 1      129,6.98E-01,-1.98E-01,-1.984,3.45E-02,          ,          ,          ,          ,1290000
 DSO 2      124,          ,          ,          ,          ,6.47E-01,4.88E-01,7.06E-01,2.90E-02,1291692
 DSO 1      130,5.71E-01,-1.19,-3.97E-01,3.10E-02,          ,          ,          ,          ,1300000
